frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
1,0.598153,0.280999,-0.118278,0.9997,0.624921,0.266532,-0.040045,0.9995,0.564954,0.262946,-0.08332,0.9996,0.637867,0.272906,0.331006,0.9993,0.529468,0.267636,0.146024,0.9998,0.710153,0.356937,0.530571,0.9994,0.421122,0.342321,0.05145,0.9998,0.780137,0.464187,0.179268,0.8987,0.290751,0.427022,-0.469842,0.9967,0.749337,0.359061,-0.376818,0.9381,0.439537,0.312216,-0.728666,0.99,0.6244,0.597394,0.152777,0.9984,0.451939,0.591686,-0.152727,0.9983,0.608005,0.7809,0.105326,0.6833,0.422705,0.784699,-0.209886,0.842,0.507945,0.9356,0.329818,0.5264,0.334713,0.964494,-0.163446,0.7123
2,0.595014,0.280947,-0.115591,0.9997,0.621836,0.266443,-0.037555,0.9995,0.56378,0.26296,-0.083182,0.9996,0.637121,0.272894,0.331433,0.9993,0.527502,0.267819,0.130177,0.9998,0.706895,0.356703,0.542187,0.9994,0.42553,0.342294,0.035662,0.9998,0.778685,0.463651,0.258005,0.8908,0.294017,0.426301,-0.4562,0.9967,0.749248,0.355773,-0.261398,0.9347,0.438976,0.312655,-0.70435,0.9895,0.625717,0.597287,0.161458,0.9984,0.454751,0.591719,-0.161405,0.9984,0.609813,0.781388,0.294493,0.6708,0.424208,0.784206,-0.359051,0.8477,0.512499,0.935286,0.55029,0.5258,0.3378,0.960377,-0.374038,0.7196
3,0.58936,0.281201,-0.106928,0.9998,0.616313,0.266738,-0.02966,0.9996,0.558413,0.264021,-0.076996,0.9997,0.63335,0.273124,0.33591,0.9994,0.523074,0.269135,0.130516,0.9998,0.704564,0.356329,0.563158,0.9995,0.42581,0.342283,0.033536,0.9998,0.771201,0.463695,0.285733,0.8822,0.297401,0.427258,-0.424228,0.9966,0.744568,0.353728,-0.218603,0.9303,0.438809,0.316626,-0.658028,0.9893,0.627524,0.596024,0.172025,0.9985,0.459773,0.591523,-0.171932,0.9985,0.611084,0.781089,0.303926,0.674,0.428938,0.784219,-0.371226,0.8565,0.528917,0.936031,0.529762,0.5447,0.343033,0.961496,-0.375903,0.7368
4,0.588639,0.284601,-0.075569,0.9998,0.615424,0.270368,0.005615,0.9996,0.55823,0.267553,-0.045883,0.9997,0.63205,0.275342,0.374931,0.9994,0.522981,0.271385,0.154836,0.9998,0.702805,0.356303,0.611013,0.9995,0.42778,0.342423,0.033344,0.9998,0.768209,0.46345,0.325238,0.8731,0.301138,0.427423,-0.416654,0.9967,0.741411,0.352724,-0.182603,0.9256,0.439212,0.317168,-0.627514,0.9891,0.627352,0.595707,0.189127,0.9986,0.466181,0.59074,-0.189105,0.9986,0.620825,0.77425,0.268512,0.6796,0.432612,0.783644,-0.407384,0.8659,0.537915,0.936676,0.478075,0.5646,0.34245,0.961574,-0.436254,0.7537
5,0.587759,0.287564,-0.092338,0.9998,0.614179,0.273395,-0.007569,0.9996,0.557485,0.270892,-0.062546,0.9997,0.63144,0.278262,0.370526,0.9995,0.522486,0.27384,0.139475,0.9998,0.697677,0.358788,0.598461,0.9995,0.434257,0.344189,-0.00253,0.9998,0.765592,0.463382,0.314933,0.8632,0.303159,0.427877,-0.420698,0.9967,0.73862,0.354078,-0.196311,0.9207,0.438715,0.317135,-0.643466,0.9888,0.627342,0.596689,0.206385,0.9987,0.468818,0.591638,-0.206271,0.9987,0.633001,0.773879,0.299888,0.6818,0.432819,0.786061,-0.439318,0.8749,0.538452,0.936875,0.549896,0.5801,0.342118,0.963868,-0.453933,0.7697
6,0.584865,0.290473,-0.097408,0.9998,0.611259,0.275991,-0.008207,0.9997,0.553415,0.273435,-0.065818,0.9998,0.629767,0.280547,0.368311,0.9995,0.5195,0.276167,0.139527,0.9998,0.69751,0.359861,0.603993,0.9996,0.434444,0.347006,-0.010808,0.9998,0.764573,0.463373,0.30389,0.8596,0.305926,0.428845,-0.505277,0.9968,0.737342,0.353834,-0.282385,0.9198,0.438049,0.317865,-0.770802,0.989,0.627712,0.601162,0.21473,0.9988,0.46903,0.5965,-0.214563,0.9988,0.637363,0.774139,0.317281,0.6837,0.432332,0.78852,-0.446005,0.8819,0.541326,0.937345,0.617418,0.5922,0.339096,0.97257,-0.439092,0.7834
7,0.58352,0.291315,-0.143253,0.9998,0.609403,0.276748,-0.058135,0.9997,0.552098,0.274223,-0.111624,0.9998,0.628715,0.281538,0.324518,0.9996,0.518463,0.277457,0.104705,0.9999,0.69675,0.361891,0.572564,0.9996,0.435347,0.349305,-0.043969,0.9999,0.764789,0.462188,0.249239,0.8581,0.307047,0.428829,-0.53514,0.997,0.737449,0.353887,-0.318734,0.9196,0.440079,0.319276,-0.792361,0.9893,0.6317,0.604195,0.212466,0.9988,0.469599,0.601093,-0.212294,0.9989,0.654045,0.775404,0.294978,0.6953,0.432282,0.789141,-0.446089,0.8905,0.54116,0.937243,0.630049,0.612,0.338329,0.972364,-0.406447,0.7991
8,0.583396,0.291719,-0.136999,0.9998,0.608524,0.277435,-0.048735,0.9997,0.551915,0.275111,-0.106927,0.9998,0.627902,0.283078,0.338919,0.9996,0.518169,0.27985,0.10904,0.9999,0.696857,0.362469,0.579888,0.9996,0.435325,0.351836,-0.034822,0.9999,0.764907,0.461915,0.246929,0.8534,0.306994,0.428903,-0.546572,0.9971,0.736575,0.35393,-0.33152,0.9177,0.440773,0.320925,-0.796758,0.9893,0.634296,0.604155,0.212017,0.9989,0.471634,0.601675,-0.211851,0.9989,0.659262,0.776248,0.296005,0.6999,0.432202,0.790929,-0.438519,0.8974,0.545973,0.937655,0.627731,0.6234,0.336354,0.974049,-0.41217,0.8116
9,0.582389,0.294201,-0.134025,0.9999,0.60764,0.279974,-0.047696,0.9997,0.550658,0.277141,-0.106216,0.9998,0.627116,0.28547,0.343611,0.9996,0.517304,0.281498,0.12742,0.9999,0.696299,0.364037,0.577666,0.9996,0.435215,0.354736,-0.022624,0.9999,0.765001,0.461872,0.214462,0.8527,0.307342,0.429341,-0.532447,0.9972,0.734284,0.353965,-0.363255,0.9169,0.442482,0.321151,-0.78038,0.9891,0.637004,0.605608,0.209725,0.9989,0.473601,0.602985,-0.20956,0.999,0.66722,0.777335,0.277876,0.7054,0.431934,0.795679,-0.442282,0.9036,0.548474,0.938914,0.592888,0.6324,0.335064,0.974733,-0.429739,0.8228
10,0.582353,0.294263,-0.140775,0.9999,0.607275,0.279847,-0.053828,0.9998,0.550726,0.277272,-0.110458,0.9998,0.626478,0.285522,0.340443,0.9997,0.517186,0.282028,0.115506,0.9999,0.692755,0.367296,0.577255,0.9996,0.43589,0.354294,-0.041154,0.9999,0.764169,0.462091,0.215878,0.849,0.307263,0.429924,-0.564424,0.9973,0.733922,0.355798,-0.364242,0.9159,0.442487,0.32332,-0.819871,0.9893,0.636888,0.606856,0.21657,0.999,0.474919,0.603208,-0.216382,0.999,0.676707,0.778228,0.2716,0.7129,0.429742,0.798571,-0.429211,0.9094,0.555443,0.936712,0.609259,0.642,0.330109,0.97473,-0.423862,0.8333
