frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
1,0.495491,0.420355,-0.190053,1.0,0.499359,0.413433,-0.144572,0.9999,0.480469,0.410882,-0.18359,1.0,0.495021,0.416397,0.080516,0.9999,0.455592,0.41168,-0.092752,1.0,0.514362,0.469526,0.233367,1.0,0.377817,0.456874,-0.14789,1.0,0.587783,0.513554,0.052327,0.9229,0.419696,0.497024,-0.457913,0.9978,0.574335,0.454844,-0.296793,0.9576,0.490335,0.446784,-0.602585,0.994,0.495869,0.59968,0.097533,0.9999,0.405798,0.602163,-0.097568,0.9999,0.579648,0.697169,0.080872,0.9929,0.357551,0.705576,-0.10815,0.9965,0.62859,0.793525,0.320295,0.9896,0.307082,0.801228,0.115106,0.9929
2,0.496602,0.42462,-0.249572,1.0,0.501903,0.421053,-0.206203,0.9999,0.48294,0.416161,-0.245579,1.0,0.496269,0.422401,0.018937,0.9999,0.456586,0.415839,-0.155098,1.0,0.515998,0.470119,0.182633,1.0,0.377974,0.459112,-0.206022,1.0,0.588757,0.516317,0.005991,0.9237,0.41925,0.501311,-0.513598,0.9977,0.574373,0.456181,-0.340887,0.9576,0.487472,0.447553,-0.674631,0.994,0.495024,0.601461,0.095753,0.9999,0.405331,0.605783,-0.095762,0.9999,0.579678,0.697703,0.048791,0.9931,0.357227,0.709673,-0.109322,0.9966,0.627177,0.793581,0.30768,0.9899,0.307128,0.805266,0.124239,0.9931
3,0.496596,0.43091,-0.241963,1.0,0.502033,0.425603,-0.197914,0.9999,0.482963,0.421829,-0.23839,1.0,0.496266,0.428089,0.026913,0.9999,0.456579,0.421164,-0.152624,1.0,0.516196,0.474674,0.184537,1.0,0.3778,0.464992,-0.206704,1.0,0.588761,0.52041,0.01273,0.9251,0.413651,0.504516,-0.519572,0.9977,0.574101,0.461596,-0.331183,0.9579,0.485601,0.452035,-0.662794,0.9941,0.494202,0.609209,0.093219,0.9999,0.404975,0.613366,-0.093191,0.9999,0.579676,0.701171,0.049027,0.9932,0.357233,0.713989,-0.096674,0.9966,0.625343,0.795484,0.308129,0.9901,0.307126,0.807081,0.164729,0.9932
4,0.499265,0.436507,-0.257431,1.0,0.50363,0.429617,-0.214048,0.9999,0.484868,0.426836,-0.257654,1.0,0.496666,0.431233,0.01226,0.9999,0.458208,0.426585,-0.179953,1.0,0.517793,0.477875,0.184124,1.0,0.380234,0.469513,-0.244571,1.0,0.588765,0.524705,0.018835,0.9207,0.414616,0.512008,-0.554968,0.9976,0.575169,0.469604,-0.325639,0.9558,0.485167,0.459308,-0.712855,0.9941,0.493647,0.616539,0.095597,0.9999,0.404747,0.620586,-0.095506,0.9999,0.581319,0.705051,0.036822,0.9935,0.35711,0.721079,-0.05881,0.9967,0.624874,0.796919,0.309233,0.9906,0.306577,0.809211,0.233407,0.9935
5,0.50123,0.435327,-0.270287,1.0,0.505592,0.428664,-0.226011,0.9999,0.48656,0.42664,-0.267146,1.0,0.499632,0.432112,0.000199,0.9999,0.459982,0.428266,-0.181564,1.0,0.522083,0.479794,0.157987,1.0,0.387185,0.470338,-0.244724,1.0,0.588992,0.526981,-0.027903,0.9171,0.415346,0.512691,-0.559433,0.9976,0.574901,0.469397,-0.355887,0.9535,0.485626,0.458645,-0.700098,0.9941,0.494909,0.617517,0.095638,0.9999,0.405395,0.62057,-0.095538,0.9999,0.587233,0.704959,0.04127,0.9938,0.35811,0.71997,-0.069522,0.9968,0.624898,0.797739,0.315489,0.9911,0.306567,0.808809,0.220858,0.9937
6,0.508106,0.434209,-0.255274,1.0,0.511368,0.427412,-0.210791,0.9999,0.493646,0.425218,-0.251488,1.0,0.504364,0.430754,0.013326,0.9999,0.466298,0.426545,-0.164984,1.0,0.527643,0.479092,0.166044,1.0,0.394591,0.469172,-0.225097,1.0,0.590016,0.525803,-0.02516,0.9151,0.419305,0.511321,-0.539382,0.9975,0.585983,0.468266,-0.359512,0.9524,0.485954,0.457179,-0.687688,0.994,0.499697,0.615475,0.095288,0.9999,0.409778,0.618571,-0.095197,0.9999,0.596259,0.702326,0.044091,0.994,0.359759,0.719003,-0.073698,0.9969,0.627735,0.797546,0.323549,0.9914,0.306844,0.808676,0.197186,0.9939
7,0.512303,0.434111,-0.251412,1.0,0.515195,0.426238,-0.205226,0.9999,0.496973,0.424323,-0.249727,1.0,0.507021,0.428288,0.020313,0.9999,0.47086,0.42467,-0.151537,1.0,0.53266,0.47574,0.170079,1.0,0.397529,0.465533,-0.205009,1.0,0.600556,0.517628,-0.02721,0.9147,0.424947,0.510456,-0.530589,0.9975,0.60826,0.461282,-0.37079,0.9527,0.489749,0.452887,-0.699393,0.9943,0.511327,0.612659,0.084753,0.9999,0.418591,0.617054,-0.084716,0.9999,0.608496,0.694684,-0.042712,0.9943,0.359758,0.718223,-0.11511,0.9971,0.635146,0.792892,0.2662,0.9918,0.307156,0.80843,0.166785,0.9943
8,0.523977,0.427446,-0.262254,1.0,0.526066,0.419792,-0.218084,1.0,0.511045,0.418433,-0.25783,1.0,0.516766,0.421334,0.009569,0.9999,0.484599,0.418925,-0.159854,1.0,0.544044,0.470711,0.159313,1.0,0.407081,0.459329,-0.208544,1.0,0.621747,0.510364,-0.039146,0.9184,0.429385,0.499495,-0.553483,0.9976,0.637575,0.44918,-0.392337,0.9549,0.49293,0.442002,-0.752371,0.9946,0.523296,0.606486,0.083425,0.9999,0.429724,0.611792,-0.083378,0.9999,0.620196,0.69149,-0.058058,0.9947,0.362654,0.714086,-0.15001,0.9973,0.646744,0.786051,0.249145,0.9923,0.307765,0.808235,0.115096,0.9947
9,0.530288,0.422418,-0.301003,1.0,0.532749,0.414812,-0.256525,1.0,0.515884,0.413338,-0.292872,1.0,0.524261,0.417213,-0.024835,0.9999,0.491389,0.413886,-0.184514,1.0,0.551733,0.463034,0.125486,1.0,0.417069,0.453142,-0.228655,1.0,0.646719,0.498667,-0.076717,0.9237,0.436887,0.495328,-0.579928,0.9977,0.667552,0.438899,-0.429302,0.9576,0.50274,0.439589,-0.795105,0.9949,0.533502,0.601537,0.074817,0.9999,0.43722,0.605531,-0.074671,0.9999,0.630174,0.687715,-0.078186,0.9951,0.368529,0.70825,-0.17811,0.9974,0.661435,0.784062,0.212201,0.9927,0.313173,0.806874,0.07352,0.995
10,0.537299,0.418463,-0.298507,1.0,0.537362,0.410659,-0.252111,1.0,0.52087,0.40957,-0.287833,1.0,0.529133,0.414171,-0.016265,0.9999,0.49418,0.411544,-0.175822,1.0,0.557914,0.45836,0.133451,1.0,0.425259,0.450548,-0.226664,1.0,0.660974,0.479537,-0.055133,0.9293,0.444083,0.49162,-0.567743,0.9979,0.708867,0.427665,-0.375231,0.9606,0.510887,0.43896,-0.805465,0.9953,0.540904,0.598201,0.069202,0.9999,0.446466,0.602216,-0.069037,0.9999,0.638884,0.686309,-0.099121,0.9954,0.376043,0.706014,-0.156296,0.9976,0.679818,0.783671,0.18051,0.9932,0.321358,0.805047,0.106104,0.9954
