frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
1,0.513923,0.440038,-0.261936,1.0,0.510365,0.430448,-0.219797,0.9999,0.499579,0.42978,-0.275315,0.9999,0.493359,0.431207,-0.000133,0.9998,0.465767,0.431231,-0.244418,0.9999,0.499264,0.483497,0.186212,0.9999,0.39453,0.483679,-0.369425,0.9999,0.585017,0.517632,0.103494,0.8517,0.436063,0.529749,-0.742475,0.9961,0.618928,0.474088,-0.135712,0.9385,0.478406,0.459528,-0.882701,0.9949,0.510034,0.636488,0.142989,0.9999,0.423318,0.64381,-0.142913,0.9999,0.576719,0.728657,0.24847,0.9749,0.379947,0.74476,-0.183755,0.9956,0.593073,0.819738,0.651514,0.9683,0.325054,0.846502,0.058747,0.9942
2,0.512366,0.440438,-0.235652,1.0,0.509537,0.430713,-0.197278,0.9999,0.496656,0.430175,-0.248328,0.9999,0.492055,0.431442,0.015897,0.9998,0.464409,0.431494,-0.207366,0.9999,0.501142,0.483495,0.198436,0.9999,0.393634,0.483622,-0.327532,0.9999,0.595907,0.505059,0.047038,0.8446,0.464066,0.527208,-0.548723,0.9955,0.632462,0.471611,-0.327571,0.9343,0.48982,0.464314,-0.541186,0.9934,0.509936,0.636831,0.138586,0.9999,0.423349,0.643805,-0.138487,0.9999,0.576153,0.728425,0.18944,0.9742,0.376311,0.746203,-0.160251,0.9952,0.593014,0.81963,0.510829,0.9683,0.32501,0.846976,0.052598,0.9938
3,0.511928,0.440953,-0.254238,1.0,0.508478,0.430828,-0.215715,0.9999,0.495732,0.430694,-0.270966,0.9999,0.489334,0.431445,-0.003326,0.9998,0.46325,0.431851,-0.247006,0.9999,0.501951,0.482188,0.197619,0.9999,0.39077,0.483643,-0.373582,0.9999,0.603456,0.49581,0.230926,0.8333,0.458875,0.529846,-0.611285,0.9956,0.666273,0.469082,0.086623,0.9299,0.489378,0.464839,-0.751577,0.9933,0.509205,0.636785,0.1391,0.9999,0.422456,0.643742,-0.139025,0.9999,0.575425,0.727635,0.169657,0.9733,0.373042,0.747554,-0.154941,0.9947,0.593743,0.819384,0.499229,0.9684,0.324738,0.847031,0.047724,0.9935
4,0.509757,0.440797,-0.286642,1.0,0.507312,0.43075,-0.246299,0.9999,0.492566,0.430656,-0.300601,0.9999,0.489078,0.43143,-0.025239,0.9998,0.461685,0.431937,-0.265049,0.9999,0.503698,0.480426,0.192165,0.9999,0.390359,0.483386,-0.379036,0.9999,0.612308,0.485317,0.243595,0.8296,0.456084,0.530122,-0.706117,0.9957,0.709332,0.462259,0.086563,0.9302,0.488793,0.465376,-0.941421,0.9933,0.507663,0.636786,0.140531,0.9999,0.421729,0.643676,-0.140501,0.9999,0.574846,0.726874,0.17887,0.9725,0.371531,0.747896,-0.169819,0.9945,0.594338,0.819392,0.542852,0.9687,0.324422,0.847025,0.025963,0.9935
5,0.507371,0.440795,-0.331215,1.0,0.505429,0.430841,-0.288247,0.9999,0.488963,0.430782,-0.338719,0.9999,0.488767,0.431547,-0.058856,0.9998,0.457782,0.432144,-0.282427,0.9999,0.506598,0.479181,0.149615,0.9999,0.389621,0.483396,-0.387245,0.9999,0.623226,0.472805,0.199967,0.8319,0.447623,0.526781,-0.737028,0.9957,0.737975,0.457057,0.032371,0.9301,0.494403,0.465571,-0.971315,0.9932,0.506867,0.636775,0.136,0.9999,0.420032,0.643604,-0.13598,0.9999,0.574848,0.726638,0.132953,0.9729,0.370232,0.747863,-0.18344,0.9944,0.594664,0.819398,0.514048,0.9691,0.323756,0.847392,0.027623,0.9935
6,0.506305,0.440673,-0.336543,1.0,0.504044,0.430784,-0.294554,0.9999,0.487122,0.430764,-0.34364,0.9999,0.488266,0.431539,-0.070729,0.9998,0.455641,0.432175,-0.285942,0.9999,0.508348,0.476451,0.133085,0.9999,0.389669,0.483344,-0.388026,0.9999,0.631493,0.462002,0.18245,0.8373,0.444346,0.5245,-0.734445,0.9957,0.757875,0.452318,0.004998,0.9316,0.500411,0.466029,-0.948626,0.9932,0.504837,0.636754,0.130852,0.9999,0.417442,0.643459,-0.130844,0.9999,0.575623,0.726567,0.095249,0.9736,0.36898,0.748549,-0.16469,0.9943,0.595447,0.819511,0.46726,0.9701,0.322758,0.847387,0.057695,0.9936
7,0.506153,0.439639,-0.328709,1.0,0.50303,0.429912,-0.286095,0.9999,0.486814,0.43023,-0.33742,0.9999,0.487213,0.430822,-0.061858,0.9998,0.454765,0.431949,-0.287431,0.9999,0.508544,0.47313,0.136971,0.9999,0.389762,0.48309,-0.402456,0.9999,0.631684,0.455756,0.201429,0.8424,0.442295,0.513817,-0.744604,0.9958,0.767992,0.448779,0.055566,0.9329,0.50445,0.46777,-0.970206,0.9932,0.504521,0.636601,0.131377,0.9999,0.41668,0.64307,-0.131368,0.9999,0.575722,0.726867,0.127313,0.9742,0.368849,0.748734,-0.165735,0.9943,0.59571,0.81972,0.512543,0.9705,0.322617,0.847474,0.06949,0.9936
8,0.505661,0.438505,-0.330634,1.0,0.502162,0.429493,-0.286465,0.9999,0.485177,0.429536,-0.337179,0.9999,0.487037,0.430821,-0.057371,0.9998,0.453336,0.431883,-0.282924,0.9999,0.510263,0.473544,0.133721,0.9999,0.389714,0.482985,-0.397878,0.9999,0.631459,0.458268,0.190085,0.846,0.43134,0.515867,-0.780043,0.9958,0.762893,0.444839,0.037554,0.9337,0.504149,0.469464,-1.061902,0.9933,0.504436,0.636467,0.126395,0.9999,0.415919,0.642713,-0.126412,0.9999,0.575723,0.726278,0.09223,0.9754,0.367389,0.748718,-0.166784,0.9944,0.595957,0.819908,0.476833,0.9718,0.32195,0.847105,0.082585,0.9938
9,0.505027,0.438206,-0.34661,1.0,0.50201,0.429462,-0.302846,0.9999,0.484575,0.429331,-0.350354,0.9999,0.487146,0.430856,-0.072477,0.9998,0.45268,0.43183,-0.284743,0.9999,0.512851,0.473753,0.115824,0.9999,0.389384,0.482717,-0.395201,0.9999,0.632284,0.45731,0.163728,0.8525,0.424666,0.514919,-0.777284,0.9958,0.763999,0.444282,0.026034,0.9354,0.503923,0.472777,-1.066431,0.9933,0.504444,0.636213,0.123464,0.9999,0.415258,0.64216,-0.123488,0.9999,0.575725,0.726149,0.084513,0.9764,0.365733,0.748956,-0.177781,0.9944,0.595959,0.819654,0.479024,0.9727,0.321685,0.847131,0.077356,0.9939
10,0.500398,0.438827,-0.356691,1.0,0.499303,0.43034,-0.313905,0.9999,0.479296,0.429899,-0.357103,0.9999,0.486993,0.431397,-0.085388,0.9998,0.448085,0.432144,-0.282141,0.9999,0.513348,0.473077,0.091426,0.9999,0.389032,0.482716,-0.379935,0.9999,0.631842,0.457775,0.093707,0.8596,0.42592,0.515952,-0.761094,0.9957,0.763837,0.444398,-0.087279,0.9371,0.505617,0.474342,-1.019611,0.993,0.504462,0.635775,0.112227,0.9999,0.415287,0.641428,-0.112282,0.9999,0.575711,0.725682,0.061972,0.9773,0.365978,0.748316,-0.16808,0.9943,0.596349,0.819432,0.433716,0.9735,0.321171,0.846964,0.0811,0.9939
11,0.500723,0.4384,-0.348003,1.0,0.499252,0.430004,-0.30451,0.9999,0.479922,0.429843,-0.350763,0.9999,0.48671,0.431412,-0.075509,0.9998,0.448572,0.432335,-0.280854,0.9999,0.513586,0.473296,0.108833,0.9999,0.389041,0.482606,-0.380085,0.9999,0.631899,0.458523,0.142705,0.8642,0.420806,0.515273,-0.765037,0.9958,0.765297,0.444919,-0.013861,0.9382,0.504587,0.473649,-1.05609,0.9931,0.504505,0.63565,0.114963,0.9999,0.415192,0.641221,-0.115007,0.9999,0.575885,0.724902,0.055562,0.9782,0.365604,0.748288,-0.215498,0.9945,0.596345,0.819381,0.435015,0.9743,0.319955,0.847021,0.025287,0.994
12,0.500947,0.438408,-0.346668,1.0,0.499273,0.430001,-0.303255,0.9999,0.480337,0.429845,-0.350353,0.9999,0.486691,0.431407,-0.074709,0.9998,0.448619,0.432335,-0.282021,0.9999,0.51344,0.471524,0.114738,0.9999,0.389055,0.482562,-0.380942,0.9999,0.631906,0.456785,0.15709,0.8686,0.422126,0.515728,-0.762578,0.9958,0.763728,0.444799,0.004231,0.9397,0.503892,0.473546,-1.040591,0.9932,0.504525,0.635362,0.116796,0.9999,0.414984,0.640997,-0.116825,0.9999,0.576834,0.724784,0.077883,0.9787,0.365696,0.747933,-0.206232,0.9945,0.596355,0.819346,0.459091,0.9746,0.319462,0.846976,0.033882,0.9941
13,0.501092,0.438383,-0.343249,1.0,0.499339,0.429996,-0.299871,0.9999,0.480543,0.429742,-0.349105,0.9999,0.486984,0.431442,-0.071562,0.9998,0.44887,0.43229,-0.27693,0.9999,0.513603,0.471749,0.119092,0.9999,0.389046,0.482532,-0.377573,0.9999,0.631653,0.458381,0.161837,0.8704,0.421152,0.514064,-0.751012,0.9958,0.760797,0.445611,0.00468,0.9395,0.50295,0.473101,-1.022568,0.9931,0.504541,0.635428,0.117121,0.9999,0.415004,0.64116,-0.11716,0.9999,0.579113,0.724796,0.050793,0.9792,0.365637,0.748208,-0.171507,0.9944,0.596317,0.819267,0.408052,0.9751,0.318872,0.84673,0.066797,0.994
