frame,track_id,id_switch_count,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
5,3,0,409.9461975097656,258.5198974609375,0.9884546995162964,418.31732177734375,249.0667266845703,0.8685521483421326,402.7598571777344,245.70863342285156,0.9922012090682983,423.3654479980469,247.13600158691406,0.1286334991455078,378.203125,237.5355987548828,0.9809391498565674,429.9299011230469,296.4488525390625,0.9956830739974976,336.0389709472656,293.5285949707031,0.9978426694869995,447.0027770996094,375.59979248046875,0.9615480899810791,314.8917541503906,381.5294189453125,0.9909821152687073,452.4984436035156,443.6812744140625,0.9586824178695679,374.906005859375,378.74688720703125,0.9879572987556458,427.9686584472656,442.7065734863281,0.9987346529960632,360.7138366699219,443.2679138183594,0.9990901947021484,456.2578430175781,563.334228515625,0.9977996945381165,344.1709899902344,567.2831420898438,0.9986259937286377,459.1080627441406,686.0428466796875,0.9892328977584839,328.7560119628906,694.7483520507812,0.9919608235359192
6,3,0,415.4049072265625,259.1816711425781,0.988470196723938,422.54437255859375,249.17059326171875,0.8394871354103088,407.65618896484375,246.50735473632812,0.9923031330108643,427.15789794921875,246.15823364257812,0.0885813981294632,381.15118408203125,238.4304962158203,0.9818189144134521,434.64166259765625,293.0765380859375,0.9956120252609253,339.504150390625,292.6575622558594,0.9978931546211243,451.3092956542969,367.7174987792969,0.9635871052742004,314.5911560058594,380.1878967285156,0.9919918179512024,462.8242492675781,410.1332092285156,0.9609018564224243,374.6217041015625,374.6929931640625,0.9891614317893982,431.7234802246094,443.9818420410156,0.9989864230155945,362.68292236328125,445.5975341796875,0.9992867112159729,455.74713134765625,565.490478515625,0.9978758096694946,348.0596008300781,570.7164916992188,0.9987032413482666,482.44580078125,686.9901123046875,0.9883330464363098,328.0320129394531,690.9837036132812,0.9913983345031738
7,3,0,417.8423156738281,261.8104553222656,0.9659867882728577,424.7325744628906,252.52096557617188,0.751038134098053,408.9306335449219,250.15846252441406,0.9755929708480835,428.5003967285156,249.65576171875,0.1272701472043991,381.9876708984375,243.29913330078125,0.9581032395362854,437.806884765625,298.0906677246094,0.9930078983306885,340.9478454589844,298.9938659667969,0.9957079887390137,462.0816345214844,367.8941955566406,0.963049590587616,317.01611328125,382.62481689453125,0.986684262752533,466.2729187011719,395.2124938964844,0.9500808715820312,373.28118896484375,374.0012512207031,0.9792352318763733,431.8115539550781,450.47027587890625,0.9983636736869812,361.4640808105469,452.7476501464844,0.9987066984176636,459.987548828125,572.9260864257812,0.9961501359939575,349.26214599609375,576.5872192382812,0.9971755743026733,490.88555908203125,693.2112426757812,0.9809777736663818,325.5675964355469,693.2533569335938,0.9839634299278259
8,3,0,417.8298645019531,261.8092956542969,0.9663604497909546,424.74395751953125,252.51651000976562,0.7526495456695557,408.91986083984375,250.14151000976562,0.9759495258331299,428.54986572265625,249.65701293945312,0.12747904658317566,381.9735412597656,243.27182006835938,0.958634614944458,437.88409423828125,298.0722351074219,0.9930298924446106,340.9521179199219,299.0509033203125,0.9957543611526489,462.08837890625,367.9573059082031,0.9626244902610779,316.9941101074219,382.53759765625,0.9866979718208313,466.7807922363281,397.2275085449219,0.9494255781173706,372.7381286621094,374.32501220703125,0.9791673421859741,431.7284851074219,450.4710998535156,0.9983729124069214,361.3440246582031,452.7702941894531,0.9987190961837769,459.8965759277344,572.8772583007812,0.9961709380149841,349.2412414550781,576.662353515625,0.997204065322876,491.0855712890625,693.2156982421875,0.9811429977416992,325.5683288574219,693.259033203125,0.9841521978378296
9,3,0,419.57159423828125,268.0360107421875,0.9859041571617126,427.02947998046875,258.2676086425781,0.8316963315010071,411.56573486328125,255.4739227294922,0.9893693923950195,431.65533447265625,255.63623046875,0.10755937546491623,384.0225524902344,247.34634399414062,0.9770251512527466,441.90301513671875,306.3451232910156,0.9973989725112915,342.82623291015625,302.1759033203125,0.9971858859062195,470.5174560546875,384.08380126953125,0.9853488802909851,313.08990478515625,388.50726318359375,0.989018440246582,466.1177062988281,394.1676940917969,0.98183673620224,373.0708923339844,385.2149658203125,0.9869213104248047,434.1188659667969,460.1484680175781,0.9993500113487244,362.42156982421875,460.23321533203125,0.999305009841919,461.1696472167969,581.260986328125,0.9986352324485779,345.6730041503906,583.73583984375,0.9986191987991333,490.46075439453125,698.5240478515625,0.9912824630737305,321.73345947265625,700.3936157226562,0.9904520511627197
10,3,0,423.6561279296875,271.461181640625,0.9877402186393738,431.162353515625,261.68365478515625,0.8475565314292908,414.8902587890625,259.2625427246094,0.9909969568252563,436.2350158691406,261.100341796875,0.10878597944974899,387.092041015625,254.03553771972656,0.9787762761116028,446.6701965332031,312.91143798828125,0.9972060322761536,347.52142333984375,312.133056640625,0.9976170063018799,476.89703369140625,383.5462341308594,0.9847846031188965,316.61981201171875,395.2451171875,0.9918870329856873,475.3621826171875,401.20599365234375,0.9833692908287048,372.1212158203125,393.46002197265625,0.990744948387146,437.4040832519531,465.849609375,0.9993360638618469,365.91845703125,466.3244323730469,0.9993744492530823,460.2149963378906,585.7509155273438,0.9984971284866333,345.62054443359375,586.5798950195312,0.9986618757247925,491.20904541015625,702.281005859375,0.9902756214141846,318.2955017089844,697.65625,0.9904220104217529
11,3,0,423.62646484375,271.473876953125,0.9878411889076233,431.1725769042969,261.7070617675781,0.8489072918891907,414.88873291015625,259.2555847167969,0.9910661578178406,436.24810791015625,261.10211181640625,0.1092081367969513,387.15496826171875,253.9695281982422,0.9787991046905518,446.54248046875,312.81231689453125,0.9972092509269714,347.5166015625,312.152587890625,0.9976116418838501,476.44964599609375,382.99310302734375,0.9848889112472534,316.7618408203125,395.2967529296875,0.9919140338897705,475.8265075683594,401.2275085449219,0.9835429191589355,372.08880615234375,393.0896301269531,0.9908089637756348,437.1545715332031,465.93829345703125,0.9993346333503723,365.7311706542969,466.4496154785156,0.9993719458580017,460.2073669433594,585.8876953125,0.9984884262084961,345.4913024902344,586.7555541992188,0.9986528158187866,491.26080322265625,702.279541015625,0.9902015328407288,318.1518859863281,697.9838256835938,0.9903424978256226
12,3,0,434.9808654785156,270.431884765625,0.9881842136383057,442.74029541015625,260.7453308105469,0.8469371795654297,426.24200439453125,258.0338134765625,0.9924752116203308,448.60260009765625,260.378662109375,0.10270480811595917,399.14898681640625,252.797607421875,0.9819018244743347,458.4216003417969,310.8478088378906,0.9954421520233154,360.4352722167969,310.5233154296875,0.9981173276901245,486.487548828125,378.2918701171875,0.9648737907409668,322.5615539550781,394.4950256347656,0.9933719635009766,484.0749206542969,407.7323913574219,0.9636709094047546,376.2445373535156,404.6753234863281,0.9911034107208252,448.3053894042969,464.6988220214844,0.9990556836128235,377.6329040527344,464.3497314453125,0.9994008541107178,465.76910400390625,586.3052368164062,0.9979758858680725,350.4632263183594,585.635986328125,0.9988270401954651,493.79217529296875,705.1428833007812,0.9889827370643616,315.6882629394531,699.327880859375,0.992238461971283
13,3,0,444.8828430175781,268.82904052734375,0.986004650592804,451.5924377441406,259.02655029296875,0.7985168695449829,436.36395263671875,256.53057861328125,0.99184250831604,456.3988952636719,257.66229248046875,0.07722670584917068,408.50665283203125,250.43067932128906,0.9828807711601257,463.7654113769531,307.074462890625,0.9930879473686218,368.99188232421875,305.22442626953125,0.9982995390892029,487.79931640625,378.44927978515625,0.928809404373169,327.67828369140625,387.413330078125,0.9935950636863708,487.1397399902344,417.6238708496094,0.9233813285827637,381.61981201171875,400.89605712890625,0.9896314740180969,454.1643371582031,460.27008056640625,0.9987768530845642,384.816650390625,459.2606201171875,0.9994131326675415,468.77642822265625,583.9041137695312,0.9976085424423218,354.6407775878906,581.8117065429688,0.9989750385284424,492.4193420410156,705.2870483398438,0.9886674284934998,312.2378845214844,696.1964721679688,0.993661642074585
14,3,0,445.0343017578125,268.92437744140625,0.985900342464447,451.65478515625,259.10968017578125,0.7942702770233154,436.53704833984375,256.6033935546875,0.9917226433753967,456.36865234375,257.6332092285156,0.07527631521224976,408.5051574707031,250.38079833984375,0.9828208684921265,463.78240966796875,306.94561767578125,0.9932531714439392,368.7851257324219,305.1630859375,0.9983125925064087,488.0129699707031,378.5960693359375,0.9312313199043274,327.10406494140625,387.76922607421875,0.9936954379081726,487.4220886230469,417.846923828125,0.9257563948631287,381.3355712890625,401.1060791015625,0.9898192286491394,454.253173828125,460.2475280761719,0.9988207221031189,384.77191162109375,459.3515319824219,0.9994291663169861,468.5169372558594,583.7975463867188,0.9976667165756226,354.8941345214844,582.214111328125,0.998991072177887,492.4851379394531,705.0111694335938,0.988751232624054,312.08966064453125,696.6376342773438,0.9936555624008179
