frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
1,0.536593,0.288408,-0.248055,0.9999,0.566219,0.268865,-0.23233,0.9999,0.506592,0.275336,-0.18457,0.9999,0.60834,0.271826,-0.045394,0.9998,0.500671,0.281105,0.175028,0.9997,0.753928,0.344054,-0.089675,0.9997,0.471816,0.363478,0.365917,0.9997,0.703129,0.430244,-0.580551,0.9515,0.388911,0.447115,-0.027197,0.7994,0.585202,0.337964,-0.935904,0.9574,0.345328,0.35991,-0.711327,0.935,0.709455,0.583651,-0.155474,0.9995,0.542425,0.584319,0.155297,0.9994,0.778205,0.755296,-0.132797,0.9864,0.431643,0.745457,0.101891,0.9816,0.884489,0.884334,0.139132,0.9868,0.393233,0.887037,0.510167,0.9774
2,0.537488,0.287274,-0.186893,0.9999,0.568355,0.268494,-0.178874,0.9999,0.510328,0.273344,-0.132012,0.9998,0.613486,0.271827,-0.012257,0.9998,0.505127,0.280524,0.208785,0.9997,0.753932,0.342118,-0.040383,0.9997,0.474621,0.362067,0.393042,0.9997,0.702959,0.429778,-0.439821,0.9484,0.390479,0.447237,0.062236,0.7924,0.581401,0.338005,-0.717632,0.9547,0.350279,0.359908,-0.550018,0.9328,0.711615,0.582674,-0.152936,0.9995,0.539159,0.582605,0.152723,0.9993,0.780545,0.756251,-0.106687,0.9853,0.428899,0.745463,0.108334,0.981,0.89835,0.890158,0.136067,0.9859,0.392224,0.887447,0.501433,0.9763
3,0.539398,0.284808,-0.188235,0.9999,0.56986,0.267925,-0.186981,0.9999,0.516439,0.271512,-0.138354,0.9998,0.617782,0.271767,-0.0298,0.9998,0.512662,0.279086,0.197914,0.9997,0.75779,0.342667,-0.053798,0.9997,0.480108,0.362309,0.390197,0.9997,0.703014,0.429424,-0.466769,0.9474,0.394087,0.447363,0.062281,0.7763,0.582269,0.334828,-0.719826,0.9528,0.351676,0.356422,-0.548927,0.9271,0.715143,0.585286,-0.155723,0.9995,0.539319,0.585465,0.155468,0.9993,0.787296,0.757363,-0.078347,0.9851,0.428255,0.746781,0.151201,0.9803,0.912876,0.901553,0.156599,0.9859,0.390491,0.888114,0.575517,0.9754
4,0.549801,0.284866,-0.2044,0.9999,0.580409,0.267968,-0.204955,0.9999,0.528431,0.271423,-0.15782,0.9998,0.628722,0.272194,-0.046076,0.9997,0.526915,0.279016,0.176588,0.9997,0.764776,0.342558,-0.056169,0.9997,0.492148,0.362289,0.367213,0.9997,0.707964,0.428329,-0.463247,0.9472,0.400818,0.447401,0.045799,0.7703,0.590628,0.334873,-0.722896,0.9519,0.364781,0.356969,-0.585875,0.9248,0.722683,0.585359,-0.154384,0.9994,0.542544,0.585462,0.154079,0.9993,0.788706,0.757519,-0.04844,0.9846,0.429498,0.746934,0.177655,0.9796,0.915908,0.900254,0.234966,0.9853,0.391451,0.891255,0.614035,0.9743
5,0.563945,0.28465,-0.202611,0.9999,0.592939,0.267883,-0.199598,0.9999,0.543578,0.270656,-0.15154,0.9998,0.637879,0.272228,-0.043305,0.9997,0.541458,0.278468,0.181383,0.9997,0.773595,0.342772,-0.059561,0.9997,0.50188,0.362416,0.380948,0.9997,0.716126,0.428252,-0.482131,0.9481,0.415849,0.448204,0.050278,0.7617,0.600943,0.334263,-0.756197,0.9519,0.372397,0.357166,-0.575177,0.923,0.737288,0.587801,-0.165014,0.9994,0.551792,0.587596,0.164726,0.9992,0.799511,0.76102,-0.069023,0.985,0.429425,0.749695,0.164987,0.9794,0.927638,0.915275,0.143014,0.9856,0.394572,0.895811,0.591038,0.9739
6,0.584732,0.285498,-0.205915,0.9999,0.612848,0.268723,-0.199277,0.9999,0.558586,0.27106,-0.153456,0.9998,0.651903,0.272627,-0.034163,0.9997,0.551624,0.278519,0.180267,0.9996,0.783491,0.342755,-0.044088,0.9997,0.509464,0.362205,0.362573,0.9997,0.722057,0.428466,-0.427358,0.9463,0.428,0.448237,0.044018,0.7552,0.603866,0.333781,-0.68798,0.9487,0.389588,0.357802,-0.554662,0.9196,0.746475,0.587791,-0.157796,0.9994,0.563413,0.587544,0.15736,0.9992,0.807122,0.760978,-0.047824,0.9844,0.436742,0.749673,0.167702,0.9784,0.924325,0.911755,0.190141,0.985,0.396627,0.895715,0.580164,0.9725
7,0.583357,0.285671,-0.200968,0.9999,0.612395,0.269183,-0.198208,0.9999,0.561692,0.271078,-0.147835,0.9998,0.659554,0.273044,-0.04429,0.9997,0.561008,0.278509,0.186313,0.9997,0.796414,0.343513,-0.068644,0.9997,0.530684,0.36224,0.391676,0.9997,0.739939,0.428348,-0.44158,0.9482,0.439319,0.448631,0.09349,0.7458,0.624295,0.334866,-0.733575,0.9504,0.392017,0.359695,-0.527301,0.9173,0.756886,0.588501,-0.161817,0.9994,0.577283,0.587596,0.16148,0.9992,0.821497,0.764314,-0.058399,0.9841,0.442444,0.751574,0.16526,0.9775,0.930693,0.918434,0.147451,0.9849,0.398849,0.897133,0.573827,0.9715
8,0.598664,0.285998,-0.20385,0.9999,0.625823,0.269404,-0.199685,0.9998,0.577424,0.271281,-0.14926,0.9998,0.671117,0.273334,-0.045032,0.9997,0.573015,0.278913,0.189463,0.9996,0.809582,0.344513,-0.086308,0.9997,0.53807,0.362192,0.403811,0.9997,0.752178,0.428442,-0.484146,0.9493,0.451958,0.449544,0.07778,0.742,0.627239,0.337488,-0.754704,0.9506,0.397298,0.361207,-0.533569,0.9163,0.767217,0.590119,-0.1709,0.9994,0.58748,0.588665,0.170626,0.9992,0.825404,0.767541,-0.062994,0.9839,0.448752,0.752938,0.170275,0.9764,0.937707,0.922917,0.130057,0.9848,0.399029,0.89761,0.581112,0.97
9,0.616452,0.287175,-0.198463,0.9999,0.643701,0.27013,-0.190547,0.9998,0.592894,0.272227,-0.143969,0.9998,0.683966,0.274096,-0.024939,0.9997,0.585018,0.279821,0.19188,0.9996,0.816904,0.345102,-0.049738,0.9997,0.547696,0.362066,0.400883,0.9997,0.762999,0.429569,-0.435417,0.9495,0.464537,0.451104,0.075641,0.7423,0.632185,0.337916,-0.71913,0.9504,0.404091,0.363492,-0.542792,0.9166,0.776856,0.590088,-0.161858,0.9994,0.595528,0.588482,0.161508,0.9992,0.829172,0.767083,-0.043334,0.9835,0.465728,0.75291,0.168718,0.9758,0.940063,0.9214,0.141379,0.9846,0.399367,0.897516,0.574928,0.9691
10,0.624859,0.288886,-0.200264,0.9999,0.653106,0.271134,-0.191611,0.9998,0.601588,0.273877,-0.145026,0.9998,0.694331,0.274727,-0.022723,0.9997,0.592198,0.28096,0.194407,0.9996,0.826331,0.346426,-0.044939,0.9997,0.553911,0.362431,0.400387,0.9997,0.772692,0.429441,-0.447698,0.9494,0.473654,0.451503,0.06653,0.7442,0.639929,0.338517,-0.738005,0.9499,0.41005,0.363986,-0.553632,0.9171,0.785276,0.591661,-0.155879,0.9994,0.606196,0.589476,0.15549,0.9992,0.83414,0.768087,-0.045283,0.983,0.488659,0.753002,0.166947,0.975,0.93956,0.923237,0.145204,0.9845,0.405358,0.897069,0.556488,0.9687
