frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
1,0.672258,0.321235,-0.186006,0.9999,0.701104,0.302896,-0.162625,0.9998,0.646583,0.308951,-0.115547,0.9997,0.745211,0.30722,0.030289,0.9996,0.643664,0.316359,0.252581,0.9996,0.900728,0.377568,-0.032788,0.9994,0.604036,0.396362,0.360599,0.9997,0.820195,0.452201,-0.680025,0.9508,0.499627,0.470343,-0.151029,0.9374,0.722439,0.352401,-1.192759,0.9707,0.455307,0.390224,-0.907574,0.9785,0.844516,0.619113,-0.118989,0.9995,0.66704,0.614855,0.118912,0.9995,0.883431,0.795727,-0.175588,0.9612,0.551034,0.776136,-0.059612,0.9742,0.945311,0.920923,0.19251,0.9423,0.495464,0.925374,0.247964,0.957
2,0.672537,0.319108,-0.161955,0.9999,0.701361,0.300958,-0.146044,0.9998,0.646836,0.307115,-0.099462,0.9997,0.747485,0.30652,0.031,0.9996,0.643035,0.315308,0.253038,0.9996,0.894549,0.37742,-0.014559,0.9994,0.604733,0.395929,0.371381,0.9997,0.824723,0.452207,-0.548334,0.9507,0.498907,0.470346,-0.038568,0.9333,0.733421,0.35264,-0.968457,0.9696,0.450101,0.389332,-0.701475,0.9774,0.840015,0.619112,-0.127816,0.9995,0.666886,0.614824,0.127512,0.9995,0.883796,0.79352,-0.172619,0.9599,0.552832,0.771788,0.030442,0.971,0.987656,0.934977,0.056678,0.9419,0.500549,0.920384,0.303541,0.9525
3,0.674973,0.318055,-0.17228,0.9999,0.703866,0.29987,-0.156583,0.9998,0.649867,0.3059,-0.110748,0.9997,0.753564,0.305708,0.027896,0.9996,0.645247,0.313933,0.24657,0.9996,0.894648,0.376666,-0.010051,0.9994,0.607432,0.395548,0.386201,0.9997,0.840163,0.452478,-0.528176,0.9517,0.491664,0.467789,0.008371,0.927,0.748178,0.356025,-0.967729,0.9691,0.430442,0.385766,-0.68442,0.9755,0.835669,0.618985,-0.130017,0.9995,0.664437,0.613536,0.129637,0.9995,0.883458,0.790776,-0.071902,0.9602,0.55298,0.769962,0.113937,0.9694,1.005932,0.936035,0.088654,0.9444,0.499005,0.918963,0.435395,0.9514
4,0.677391,0.317204,-0.191008,0.9999,0.705268,0.298517,-0.176163,0.9998,0.652721,0.305398,-0.126759,0.9997,0.755678,0.3043,-0.00061,0.9996,0.647213,0.313514,0.233652,0.9996,0.894572,0.375159,-0.042315,0.9994,0.610416,0.394512,0.384305,0.9997,0.845595,0.452176,-0.565963,0.9539,0.479163,0.457307,0.018138,0.9247,0.756146,0.356641,-1.033247,0.9695,0.38651,0.378754,-0.654381,0.9746,0.834738,0.618813,-0.133988,0.9995,0.664458,0.613509,0.133587,0.9995,0.883033,0.790852,-0.081983,0.959,0.553126,0.770109,0.082096,0.9676,1.004524,0.935002,0.104497,0.9431,0.500181,0.917877,0.379303,0.9492
5,0.68132,0.315127,-0.199979,0.9999,0.708499,0.295587,-0.185088,0.9998,0.656387,0.303192,-0.133188,0.9997,0.760739,0.302446,-0.013768,0.9995,0.649776,0.312207,0.230679,0.9995,0.894749,0.373826,-0.069379,0.9994,0.611432,0.392629,0.388929,0.9997,0.856862,0.450562,-0.61237,0.9562,0.468031,0.44184,0.088733,0.9192,0.763864,0.356805,-1.116282,0.9702,0.343019,0.374994,-0.574592,0.972,0.835045,0.617671,-0.136816,0.9995,0.665123,0.612054,0.136399,0.9994,0.883859,0.786785,-0.104191,0.9581,0.553178,0.767592,0.06622,0.9658,1.000096,0.934653,0.079861,0.944,0.501146,0.917768,0.356462,0.9487
6,0.685339,0.312747,-0.203758,0.9999,0.713325,0.294353,-0.184083,0.9998,0.660767,0.300359,-0.135979,0.9997,0.764489,0.302169,0.000105,0.9995,0.651371,0.310262,0.228088,0.9995,0.892655,0.373513,-0.034787,0.9994,0.608115,0.3913,0.387624,0.9997,0.871681,0.448093,-0.567139,0.9584,0.437893,0.424459,0.047897,0.9202,0.774083,0.356773,-1.090016,0.9708,0.290213,0.369711,-0.616813,0.9716,0.835144,0.616245,-0.132006,0.9995,0.665111,0.611412,0.131572,0.9994,0.883435,0.786447,-0.112268,0.954,0.553355,0.767939,0.053969,0.9608,1.004068,0.934118,0.096826,0.9398,0.50354,0.917881,0.324148,0.9435
7,0.68565,0.31281,-0.203193,0.9999,0.714072,0.294562,-0.1829,0.9997,0.66122,0.299614,-0.135356,0.9996,0.763973,0.302196,0.007141,0.9995,0.652411,0.308856,0.22683,0.9995,0.888382,0.373506,-0.032528,0.9994,0.599901,0.387093,0.398664,0.9996,0.87803,0.44569,-0.578834,0.9607,0.412791,0.405655,0.103001,0.9194,0.773404,0.356815,-1.148592,0.9713,0.240528,0.363768,-0.574481,0.9693,0.83577,0.616408,-0.130649,0.9995,0.665247,0.611464,0.130135,0.9994,0.883646,0.78724,-0.104269,0.9481,0.553203,0.768115,0.046653,0.952,1.000943,0.938208,0.074956,0.9354,0.504264,0.917961,0.294272,0.9359
8,0.685598,0.312924,-0.256234,0.9999,0.714026,0.294678,-0.225078,0.9997,0.661069,0.299194,-0.189081,0.9996,0.763161,0.302291,-0.001546,0.9995,0.651441,0.307897,0.168243,0.9994,0.87813,0.373154,-0.023998,0.9993,0.586462,0.382384,0.35625,0.9995,0.878171,0.445085,-0.526092,0.9621,0.377781,0.392338,0.14599,0.9218,0.77537,0.35748,-1.092618,0.9713,0.184774,0.359768,-0.392405,0.9677,0.834785,0.614352,-0.097271,0.9994,0.660985,0.610729,0.096811,0.9993,0.88318,0.783683,-0.041661,0.9482,0.553689,0.768301,0.04331,0.9514,0.998802,0.937938,0.122504,0.9375,0.502014,0.91593,0.30142,0.9356
9,0.689464,0.314149,-0.321857,0.9998,0.718159,0.295387,-0.287085,0.9997,0.661051,0.300059,-0.265503,0.9995,0.762929,0.302306,-0.033282,0.9994,0.650606,0.307958,0.064745,0.9993,0.876938,0.37374,-0.024265,0.9992,0.576049,0.37899,0.241217,0.9993,0.876662,0.444437,-0.542047,0.9603,0.353972,0.379469,0.025421,0.9232,0.783741,0.357502,-1.130574,0.9682,0.153657,0.357693,-0.5332,0.9643,0.834697,0.614419,-0.073523,0.9993,0.658486,0.611255,0.073231,0.9992,0.883511,0.784098,0.004278,0.9484,0.552236,0.768456,0.02961,0.9508,0.995577,0.937302,0.180688,0.9393,0.499435,0.915461,0.309585,0.9355
10,0.689231,0.315738,-0.365919,0.9998,0.718401,0.296434,-0.335108,0.9997,0.660654,0.301435,-0.310824,0.9995,0.762743,0.302408,-0.08535,0.9993,0.649404,0.308177,0.025559,0.9992,0.877309,0.374027,-0.049562,0.9991,0.574871,0.375576,0.207346,0.9992,0.875529,0.444308,-0.550167,0.9587,0.349432,0.375783,0.000724,0.9214,0.784134,0.357497,-1.153965,0.9653,0.15144,0.357861,-0.55776,0.9593,0.831731,0.613377,-0.069578,0.9993,0.65511,0.610458,0.06929,0.9991,0.8822,0.780816,0.045342,0.9484,0.55259,0.767733,0.044194,0.9504,0.964435,0.910914,0.264979,0.9415,0.497258,0.913315,0.366504,0.9369
11,0.686286,0.315112,-0.322756,0.9998,0.716474,0.296195,-0.298205,0.9996,0.658652,0.300138,-0.262344,0.9994,0.758904,0.302344,-0.046375,0.9993,0.646528,0.306717,0.080014,0.9992,0.87097,0.374019,0.004046,0.999,0.569416,0.371328,0.243539,0.9992,0.874326,0.444379,-0.505521,0.9592,0.35616,0.377031,-0.000215,0.9242,0.781926,0.357726,-1.130287,0.9654,0.174266,0.359076,-0.579841,0.9591,0.829418,0.610985,-0.052501,0.9993,0.651153,0.608963,0.052245,0.9991,0.88215,0.777292,0.027253,0.9496,0.552491,0.768528,0.022092,0.9514,0.958369,0.908442,0.228246,0.944,0.498927,0.913779,0.289013,0.9388
12,0.686976,0.314817,-0.31056,0.9998,0.71707,0.296091,-0.281275,0.9996,0.658592,0.299814,-0.253083,0.9994,0.757428,0.302188,-0.03998,0.9992,0.645163,0.30608,0.076767,0.9991,0.867142,0.374091,0.0047,0.999,0.565592,0.369517,0.245391,0.9992,0.873347,0.444074,-0.50438,0.9585,0.354438,0.375141,-5e-06,0.9255,0.781279,0.357633,-1.112331,0.964,0.161412,0.358828,-0.560569,0.9571,0.826095,0.609365,-0.054583,0.9993,0.648059,0.606166,0.054326,0.999,0.882203,0.7774,0.015128,0.9485,0.552319,0.768226,0.007776,0.9497,0.942941,0.909967,0.213124,0.9447,0.496718,0.913689,0.264524,0.9381
13,0.686919,0.313907,-0.303763,0.9998,0.717134,0.295472,-0.273076,0.9996,0.658405,0.298818,-0.246049,0.9993,0.757207,0.301828,-0.035304,0.9992,0.644698,0.30518,0.084934,0.999,0.868172,0.374128,0.00043,0.9989,0.566308,0.369065,0.250117,0.9991,0.872734,0.444072,-0.516222,0.9579,0.355867,0.375984,-0.000794,0.9265,0.780247,0.357637,-1.1533,0.9632,0.160358,0.359127,-0.57326,0.9557,0.826328,0.60954,-0.056007,0.9992,0.647854,0.606426,0.055771,0.999,0.887803,0.780101,0.001213,0.9479,0.551891,0.769627,-0.002999,0.9488,0.946112,0.91192,0.20328,0.9451,0.497779,0.913947,0.256307,0.9377
14,0.687461,0.314241,-0.345889,0.9998,0.717539,0.295605,-0.313113,0.9996,0.658338,0.299194,-0.28898,0.9993,0.757153,0.301822,-0.065392,0.9991,0.644685,0.305225,0.04719,0.999,0.868611,0.373981,-0.018383,0.9988,0.567525,0.369313,0.217567,0.9991,0.872933,0.444109,-0.523678,0.9585,0.360004,0.376326,0.00022,0.9279,0.78096,0.358015,-1.155503,0.9629,0.162124,0.359324,-0.532873,0.9547,0.826267,0.608267,-0.051798,0.9992,0.647947,0.605465,0.051512,0.999,0.88772,0.77501,0.047011,0.9479,0.553752,0.76449,0.0215,0.9482,0.943084,0.904688,0.24649,0.9464,0.498323,0.90927,0.292507,0.9383
15,0.687317,0.313949,-0.330074,0.9998,0.717449,0.29546,-0.299106,0.9996,0.658113,0.29892,-0.271473,0.9993,0.756636,0.301708,-0.061152,0.9991,0.644177,0.305124,0.067987,0.999,0.869077,0.373689,-0.017651,0.9988,0.567263,0.369407,0.231265,0.9991,0.873816,0.444126,-0.527886,0.9592,0.361903,0.3783,0.035279,0.9303,0.780411,0.358479,-1.142851,0.9632,0.164788,0.359687,-0.500299,0.9547,0.826258,0.607518,-0.055047,0.9992,0.647847,0.604644,0.054793,0.999,0.888278,0.775425,0.00662,0.9483,0.553367,0.764806,-0.017273,0.9486,0.944131,0.906927,0.151873,0.9478,0.49872,0.909566,0.230164,0.9393
16,0.691177,0.314034,-0.316491,0.9998,0.721243,0.295622,-0.281257,0.9995,0.659898,0.299135,-0.264474,0.9992,0.756628,0.301715,-0.032478,0.999,0.645266,0.305204,0.078333,0.9989,0.868947,0.373661,-0.002092,0.9988,0.567816,0.369728,0.242092,0.9991,0.875525,0.444152,-0.515411,0.9599,0.364787,0.379113,0.024756,0.9325,0.780238,0.358948,-1.120793,0.9635,0.175227,0.359741,-0.511793,0.9549,0.826229,0.607154,-0.055878,0.9992,0.647985,0.604439,0.055663,0.999,0.889228,0.775961,-0.044752,0.9482,0.553161,0.765014,-0.059738,0.9483,0.944658,0.908281,0.086611,0.9484,0.498975,0.910267,0.161055,0.9397
