punch_type,count,arm_extension_avg,arm_extension_std,elbow_height_avg,elbow_height_std,wrist_height_avg,wrist_height_std,lean_forward_avg,lean_forward_std,elbow_angle_avg,elbow_angle_std,dip_avg,dip_std
jab,26,1.4553,0.1136,-0.0519,0.0517,-0.1209,0.0947,-0.0053,0.0417,177.3602,1.8962,0.1209,0.0947
cross,26,1.3096,0.423,0.2838,0.229,0.1492,0.2478,0.0241,0.068,139.4394,26.1978,0.0304,0.06
hook,42,1.0205,0.3781,0.1162,0.2126,0.0183,0.1837,-0.0139,0.0601,143.2445,39.2596,0.0384,0.0386
uppercut,38,0.9206,0.2526,0.3358,0.0958,0.0804,0.1892,-0.0174,0.0701,105.2976,21.0273,0.0253,0.0478
