frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
1,0.506951,0.453519,-0.379656,0.9999,0.527138,0.441533,-0.357756,0.9999,0.493198,0.442604,-0.337751,0.9999,0.547659,0.443478,-0.192978,0.9997,0.486302,0.444783,-0.099296,0.9997,0.618427,0.499134,-0.125905,1.0,0.454919,0.49882,0.056175,0.9999,0.628709,0.581103,-0.372671,0.979,0.420737,0.572904,-0.133181,0.9679,0.566581,0.522985,-0.688476,0.9786,0.452697,0.519035,-0.534084,0.9877,0.5621,0.658083,-0.088544,0.9999,0.476912,0.65173,0.088675,0.9997,0.576444,0.768968,-0.359799,0.9967,0.446074,0.740386,0.222006,0.9685,0.599844,0.888823,-0.139907,0.9972,0.445777,0.822052,0.787473,0.9089
2,0.505028,0.453038,-0.457392,0.9999,0.524274,0.441189,-0.439619,0.9999,0.491989,0.441489,-0.416858,0.9999,0.54761,0.443498,-0.281104,0.9998,0.485114,0.44396,-0.172471,0.9997,0.61288,0.498661,-0.212525,1.0,0.453274,0.498385,-0.022458,0.9999,0.627061,0.581113,-0.519744,0.979,0.42073,0.572358,-0.274925,0.9678,0.5649,0.520647,-0.851584,0.9786,0.450248,0.516012,-0.673729,0.9878,0.561118,0.658135,-0.088544,0.9999,0.475145,0.65183,0.088676,0.9997,0.575515,0.76894,-0.413983,0.9967,0.445696,0.74362,0.304316,0.9691,0.599887,0.888823,-0.133374,0.9972,0.445981,0.822882,0.940736,0.9101
3,0.502052,0.452779,-0.468354,0.9999,0.521286,0.440738,-0.450959,0.9999,0.489996,0.440944,-0.429507,0.9999,0.546848,0.443158,-0.291454,0.9998,0.48257,0.443531,-0.188779,0.9997,0.611009,0.498417,-0.213954,1.0,0.450428,0.497691,-0.040957,0.9999,0.623641,0.581425,-0.502608,0.9784,0.417069,0.572372,-0.277106,0.9671,0.56382,0.520178,-0.822459,0.978,0.444207,0.515959,-0.663961,0.9877,0.558894,0.658143,-0.085966,0.9999,0.472219,0.651884,0.086112,0.9997,0.574656,0.769404,-0.405145,0.9968,0.444995,0.746186,0.282567,0.9697,0.599896,0.888824,-0.106431,0.9971,0.44608,0.822897,0.929694,0.9091
4,0.4985,0.452955,-0.457431,1.0,0.516227,0.440746,-0.438369,0.9999,0.486326,0.441147,-0.417668,0.9999,0.543928,0.443178,-0.275143,0.9998,0.479229,0.443685,-0.175917,0.9998,0.606909,0.498235,-0.19972,1.0,0.448037,0.49747,-0.028078,0.9999,0.620822,0.581354,-0.489347,0.9785,0.41407,0.57196,-0.268635,0.9676,0.562486,0.519344,-0.818586,0.978,0.441142,0.515049,-0.667018,0.9879,0.555367,0.657963,-0.085994,0.9999,0.468996,0.65184,0.086142,0.9997,0.5716,0.769638,-0.444105,0.9968,0.442925,0.746266,0.291729,0.9699,0.599834,0.889046,-0.153724,0.9971,0.445912,0.82292,0.937339,0.9093
5,0.493643,0.453334,-0.44876,1.0,0.511108,0.441136,-0.42793,0.9999,0.482104,0.441551,-0.408589,0.9999,0.539086,0.443969,-0.260812,0.9998,0.474907,0.44416,-0.166343,0.9998,0.601088,0.498107,-0.189591,1.0,0.442302,0.497193,-0.019491,0.9999,0.617777,0.579753,-0.467449,0.9782,0.40915,0.571073,-0.258022,0.9682,0.55822,0.517674,-0.801851,0.9776,0.440639,0.513851,-0.654602,0.9881,0.550611,0.657942,-0.085896,0.9999,0.464342,0.651836,0.086046,0.9997,0.56597,0.770759,-0.450829,0.9968,0.439561,0.747101,0.285303,0.9699,0.598142,0.889113,-0.164168,0.9971,0.445925,0.822998,0.940781,0.9081
6,0.489188,0.453725,-0.448543,1.0,0.508005,0.441735,-0.427466,0.9999,0.479133,0.442086,-0.407362,0.9999,0.53326,0.445159,-0.260422,0.9998,0.472095,0.444853,-0.163732,0.9998,0.592676,0.498125,-0.19322,1.0,0.437642,0.497281,-0.023458,0.9999,0.611173,0.577713,-0.504549,0.978,0.405596,0.570562,-0.275763,0.9689,0.552617,0.51389,-0.843332,0.9773,0.437603,0.513896,-0.667746,0.9883,0.544575,0.658557,-0.08615,0.9999,0.46053,0.652825,0.086315,0.9997,0.561541,0.771212,-0.461551,0.9969,0.433641,0.747548,0.299454,0.9696,0.596684,0.889289,-0.173245,0.9971,0.445889,0.823252,0.9656,0.9062
7,0.482329,0.453748,-0.443005,1.0,0.500079,0.441798,-0.422004,0.9999,0.471684,0.44216,-0.401891,0.9999,0.525314,0.445436,-0.259457,0.9998,0.464454,0.445084,-0.159101,0.9998,0.584636,0.497773,-0.19894,1.0,0.431628,0.497322,-0.017453,0.9999,0.607909,0.575486,-0.513464,0.9783,0.400784,0.570591,-0.263991,0.9692,0.546291,0.510776,-0.838352,0.9774,0.431977,0.514544,-0.648346,0.9884,0.539886,0.658753,-0.089239,1.0,0.456209,0.65308,0.089432,0.9997,0.557203,0.771582,-0.452302,0.9969,0.428556,0.7481,0.305811,0.969,0.595981,0.889292,-0.171661,0.997,0.445957,0.824028,0.966201,0.9033
8,0.475277,0.453515,-0.431071,1.0,0.492041,0.441664,-0.411645,0.9999,0.463793,0.44209,-0.390895,0.9999,0.517512,0.445305,-0.255382,0.9998,0.456961,0.445073,-0.152077,0.9998,0.579248,0.496447,-0.19413,1.0,0.425602,0.497325,-0.013429,0.9999,0.602128,0.57442,-0.493505,0.9779,0.396547,0.570163,-0.251747,0.9688,0.538932,0.509967,-0.818089,0.9768,0.4288,0.516026,-0.638615,0.9882,0.535532,0.65845,-0.089419,1.0,0.451371,0.652969,0.089614,0.9998,0.553811,0.771591,-0.450243,0.9968,0.425083,0.748259,0.304228,0.9685,0.595635,0.88929,-0.166226,0.997,0.44572,0.824913,0.948228,0.9021
9,0.467944,0.453513,-0.399807,1.0,0.483999,0.441668,-0.382786,0.9999,0.457436,0.442167,-0.358117,0.9999,0.510444,0.445291,-0.237019,0.9998,0.452094,0.445271,-0.116696,0.9998,0.573388,0.49625,-0.193097,1.0,0.423331,0.497405,0.02357,0.9999,0.59694,0.574203,-0.486587,0.9782,0.395101,0.568672,-0.208476,0.9676,0.533449,0.509387,-0.809434,0.977,0.420838,0.516054,-0.59291,0.9878,0.530244,0.658433,-0.09296,1.0,0.447382,0.652968,0.093155,0.9998,0.5508,0.771429,-0.451144,0.9968,0.421791,0.748169,0.316382,0.967,0.594996,0.889243,-0.199077,0.997,0.445232,0.825346,0.945163,0.8997
10,0.463614,0.452432,-0.395395,1.0,0.478003,0.440366,-0.378817,0.9999,0.451641,0.441443,-0.354785,0.9999,0.504251,0.443632,-0.235052,0.9998,0.446664,0.444832,-0.11715,0.9998,0.570714,0.494578,-0.189448,1.0,0.419954,0.497258,0.020575,0.9999,0.591237,0.572615,-0.482746,0.9781,0.391681,0.568597,-0.210171,0.9666,0.52777,0.509023,-0.798254,0.9766,0.417905,0.51569,-0.585228,0.9874,0.529001,0.657491,-0.093775,1.0,0.445918,0.652629,0.093974,0.9998,0.549559,0.770574,-0.430151,0.9968,0.422063,0.748114,0.325479,0.9662,0.593824,0.888828,-0.176502,0.997,0.445032,0.826144,0.948496,0.8983
