frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
1,0.501608,0.415373,-0.128451,1.0,0.514068,0.405709,-0.118846,1.0,0.489343,0.409292,-0.089441,0.9999,0.532132,0.405506,-0.024527,0.9999,0.486509,0.41174,0.112838,0.9999,0.599117,0.449751,-0.057153,0.9999,0.469878,0.457573,0.22019,0.9998,0.617299,0.501364,-0.351136,0.9771,0.429392,0.511109,0.025055,0.9302,0.570879,0.433619,-0.574052,0.973,0.4642,0.442904,-0.276959,0.966,0.576751,0.598439,-0.118636,0.9999,0.499986,0.599073,0.118692,0.9996,0.574052,0.701716,-0.220637,0.9929,0.446372,0.687893,0.104517,0.9532,0.635621,0.814179,-0.128033,0.9948,0.496015,0.775281,0.424981,0.9116
2,0.498529,0.41548,-0.185625,1.0,0.510369,0.405704,-0.176053,1.0,0.487476,0.409292,-0.146082,0.9999,0.531656,0.405566,-0.072963,0.9999,0.4852,0.41172,0.067393,0.9999,0.599117,0.449094,-0.085893,0.9999,0.467734,0.456706,0.197334,0.9998,0.617614,0.501315,-0.359995,0.9775,0.427692,0.511102,0.016989,0.9295,0.567189,0.433823,-0.573916,0.9728,0.459095,0.44465,-0.28316,0.9651,0.576389,0.597028,-0.118751,0.9999,0.498765,0.596789,0.118824,0.9997,0.573072,0.70145,-0.28627,0.9927,0.447215,0.68791,0.156385,0.9522,0.635622,0.814146,-0.165021,0.9947,0.496328,0.776495,0.513804,0.9115
3,0.496395,0.413712,-0.182498,1.0,0.507828,0.402837,-0.172111,1.0,0.485886,0.406533,-0.143362,0.9999,0.530743,0.403104,-0.066156,0.9999,0.483339,0.409139,0.069357,0.9999,0.597905,0.445065,-0.080594,0.9999,0.463318,0.451936,0.198535,0.9998,0.61732,0.500209,-0.341207,0.9781,0.425569,0.510612,0.017487,0.9297,0.564524,0.433899,-0.555457,0.9733,0.454808,0.445016,-0.285356,0.9654,0.57396,0.59461,-0.115699,0.9999,0.496206,0.593668,0.115774,0.9997,0.572608,0.700625,-0.268638,0.9927,0.449651,0.687896,0.17799,0.9522,0.635036,0.814061,-0.145588,0.9946,0.495559,0.776471,0.547219,0.9123
4,0.496247,0.406392,-0.179091,1.0,0.507664,0.395119,-0.166102,0.9999,0.48556,0.398669,-0.138161,0.9999,0.53033,0.396709,-0.058758,0.9999,0.482102,0.402446,0.076678,0.9999,0.595365,0.439253,-0.071779,0.9999,0.459745,0.445926,0.199129,0.9998,0.61717,0.496584,-0.342247,0.9784,0.423185,0.505555,0.003746,0.9316,0.561442,0.431431,-0.570575,0.9735,0.452896,0.443619,-0.305979,0.966,0.569377,0.58964,-0.111551,0.9999,0.491684,0.587457,0.111626,0.9997,0.571117,0.694589,-0.272537,0.9926,0.451394,0.684733,0.174051,0.9525,0.63468,0.811843,-0.143738,0.9945,0.493866,0.775909,0.524607,0.9141
5,0.491992,0.398287,-0.183306,1.0,0.504291,0.387234,-0.167154,0.9999,0.482137,0.389223,-0.14104,0.9999,0.527503,0.389495,-0.058304,0.9999,0.477913,0.392295,0.078604,0.9999,0.589953,0.431405,-0.056699,0.9999,0.454209,0.436966,0.1966,0.9998,0.61614,0.489675,-0.341257,0.9788,0.419899,0.498751,-0.017799,0.9342,0.556201,0.424385,-0.578833,0.9738,0.450184,0.437088,-0.331964,0.967,0.566665,0.582646,-0.102913,0.9999,0.486963,0.580778,0.102961,0.9997,0.572139,0.688942,-0.280173,0.9927,0.451589,0.678021,0.168401,0.9538,0.634536,0.809746,-0.14425,0.9945,0.492171,0.773827,0.485123,0.9173
6,0.4891,0.393801,-0.172281,1.0,0.50253,0.382857,-0.148756,0.9999,0.478454,0.385194,-0.124814,0.9999,0.523905,0.384148,-0.019582,0.9999,0.473668,0.387575,0.103726,0.9999,0.585633,0.423861,-0.029652,0.9999,0.451599,0.432195,0.210129,0.9998,0.613208,0.482481,-0.338496,0.9796,0.417218,0.493939,-0.013006,0.9376,0.551926,0.41889,-0.578472,0.9744,0.448205,0.430581,-0.325207,0.9683,0.563772,0.575508,-0.101781,0.9999,0.48335,0.574662,0.10183,0.9997,0.571473,0.678708,-0.298719,0.9926,0.452254,0.665339,0.065651,0.9556,0.633938,0.802876,-0.186725,0.9944,0.486127,0.768366,0.314305,0.9215
7,0.487637,0.391683,-0.174212,1.0,0.502416,0.380802,-0.151948,0.9999,0.476468,0.382893,-0.128857,0.9999,0.522659,0.381579,-0.020193,0.9999,0.471411,0.384053,0.099338,0.9999,0.581202,0.422051,-0.025947,0.9999,0.446705,0.428166,0.206283,0.9998,0.610016,0.479921,-0.335672,0.9803,0.415517,0.490667,-0.029129,0.941,0.54907,0.415287,-0.587831,0.9752,0.443641,0.426432,-0.349911,0.97,0.560709,0.570553,-0.096777,0.9999,0.480447,0.570468,0.096836,0.9997,0.571482,0.676595,-0.319457,0.9928,0.452276,0.662282,0.09249,0.9569,0.633304,0.798695,-0.214222,0.9945,0.481007,0.764787,0.376535,0.9248
8,0.488083,0.386627,-0.152708,1.0,0.502686,0.377121,-0.125901,0.9999,0.476224,0.378261,-0.106057,0.9999,0.521296,0.379206,0.017138,0.9999,0.470641,0.380206,0.11765,0.9999,0.575924,0.420125,0.004171,0.9999,0.444767,0.427127,0.218085,0.9998,0.605256,0.479191,-0.308707,0.9811,0.414237,0.488471,-0.021876,0.9448,0.544926,0.412401,-0.569664,0.976,0.439781,0.423812,-0.337736,0.9716,0.558688,0.566771,-0.093961,0.9999,0.478727,0.567163,0.094026,0.9997,0.569772,0.673596,-0.31476,0.993,0.452291,0.659443,0.099584,0.9579,0.633346,0.795045,-0.207631,0.9946,0.476373,0.763278,0.392308,0.9274
9,0.485806,0.388398,-0.147445,1.0,0.501268,0.378537,-0.122772,0.9999,0.474066,0.379886,-0.101068,0.9999,0.517903,0.380542,0.012658,0.9999,0.468914,0.381688,0.120523,0.9999,0.568952,0.422874,-0.005741,0.9999,0.444082,0.429248,0.222917,0.9998,0.603333,0.480436,-0.315538,0.982,0.411136,0.487934,-0.018076,0.9477,0.545342,0.414389,-0.569963,0.9769,0.437778,0.423499,-0.334723,0.9726,0.551099,0.56902,-0.094383,0.9999,0.474637,0.569202,0.094441,0.9997,0.566137,0.674377,-0.313063,0.9932,0.451682,0.662668,0.151728,0.9583,0.633616,0.794464,-0.189754,0.9946,0.472754,0.762895,0.429865,0.9297
10,0.480485,0.390139,-0.147978,1.0,0.497645,0.380445,-0.12469,0.9999,0.470776,0.381545,-0.102298,0.9999,0.515108,0.382212,0.009015,0.9999,0.466088,0.383461,0.117716,0.9999,0.564452,0.424336,-0.005708,0.9999,0.440601,0.430793,0.222572,0.9999,0.598378,0.481484,-0.31672,0.9826,0.407582,0.489454,-0.020782,0.9501,0.542239,0.415537,-0.579465,0.9775,0.434175,0.424949,-0.333408,0.9737,0.546317,0.571441,-0.094157,0.9999,0.470899,0.571508,0.094222,0.9997,0.560835,0.676659,-0.30534,0.9934,0.450221,0.664335,0.151574,0.9585,0.633544,0.796098,-0.186838,0.9947,0.470556,0.763541,0.439273,0.9306
